,Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2246,11/08/2012,11.32,11.4,11.25,11.38,358.816927,4060.036183,11.31506314
2247,10/08/2012,11,11.5,10.9,11.32,2554.439056,28345.94411,11.09673924
2248,09/08/2012,11,12.49,10.79,11,2432.994733,27273.43404,11.20982042
2249,08/08/2012,10.75,11.04,10.7,10.99,2746.094619,29919.44663,10.89527157
2250,07/08/2012,10.86,10.87,10.72,10.75,1039.03555,11186.18622,10.76593214
2251,06/08/2012,10.71,10.99,10.43,10.84,2070.078121,22226.74578,10.73715313
2252,05/08/2012,10.93,10.93,10.29,10.71,1906.761907,19934.33924,10.45455081
2253,04/08/2012,10.96,11.2,10.5,10.51,635.3683814,6829.387341,10.74870507
2254,03/08/2012,10.4,12,10.1,10.79,2419.413431,26081.29383,10.78000704
2255,02/08/2012,9.45,10.52,9.4,10.44,2209.709261,21163.18741,9.577362862
2256,01/08/2012,9.28,9.5,8.9,9.45,2419.606073,22568.95115,9.327531205
2257,31/07/2012,9,9.28,8.92,9.28,1324.425751,12141.47605,9.167351241
2258,30/07/2012,8.7,9,8.54,9,2423.613506,21078.35347,8.69707708
2259,29/07/2012,8.79,8.79,8.7,8.71,590.3706616,5154.722392,8.731332241
2260,28/07/2012,8.83,9,8.78,8.88,1498.926032,13347.62576,8.904792811
2261,27/07/2012,8.76,8.91,8.76,8.83,687.4967153,6094.415863,8.864647244
2262,26/07/2012,8.64,8.83,8.45,8.75,837.6785892,7224.829866,8.624823362
2263,25/07/2012,8.59,8.64,8.24,8.64,1795.459774,15281.0642,8.510947683
2264,24/07/2012,8.59,8.8,8.25,8.61,1298.898505,11148.28203,8.582873865
2265,23/07/2012,8.42,8.88,8.1,8.59,2585.861621,22225.46712,8.594994774
2266,22/07/2012,8.74,8.8,8.3,8.42,1483.547345,12717.96421,8.572671613
2267,21/07/2012,8.52,8.91,8.2,8.74,2380.644659,20553.41878,8.633551715
2268,20/07/2012,8.76,8.76,7.93,8.44,1378.665129,11284.56455,8.185138153
2269,19/07/2012,9.06,9.2,8.76,8.76,2512.841399,22765.40769,9.059627756
2270,18/07/2012,8.5,9.15,8.36,9,2613.84283,22817.78935,8.72959502
2271,17/07/2012,8.3,8.8,7.7,8.55,3658.89689,30014.69177,8.20320787
2272,16/07/2012,7.57,8.3,7.14,8.3,3680.082593,28112.91585,7.639207856
2273,15/07/2012,7.55,7.57,7.4,7.57,322.3920825,2418.56413,7.501934014
2274,14/07/2012,7.58,7.58,7.44,7.55,717.3146197,5408.067234,7.539323869
2275,13/07/2012,7.6,7.69,7.46,7.59,1204.545737,9144.078773,7.591308897
2276,12/07/2012,7.15,7.59,7.1,7.59,2325.837575,16706.65798,7.183071663
2277,11/07/2012,7.08,7.15,7.04,7.14,751.6620754,5345.829365,7.112011553
2278,10/07/2012,6.95,7.13,6.95,7.08,1495.144289,10504.39882,7.025675651
2279,09/07/2012,6.77,6.99,6.55,6.94,1751.755528,11902.00874,6.794332059
2280,08/07/2012,6.8,6.8,6.45,6.73,830.3709044,5483.56073,6.60374864
2281,07/07/2012,6.6,6.79,6.56,6.79,1408.479823,9388.156163,6.665453073
2282,06/07/2012,6.59,6.6,6.39,6.59,1662.615105,10843.36595,6.521873838
2283,05/07/2012,6.52,6.66,6.52,6.6,1406.971932,9291.8932,6.604178086
2284,04/07/2012,6.44,6.55,6.36,6.44,2014.688732,13045.05512,6.47497299
2285,03/07/2012,6.61,6.66,6.4,6.44,1936.390571,12722.28843,6.570104511
2286,02/07/2012,6.55,6.64,6.52,6.61,1792.236132,11809.44561,6.589224154
2287,01/07/2012,6.6,6.62,6.52,6.52,332.443723,2178.098808,6.551782021
2288,30/06/2012,6.58,6.61,6.5,6.61,828.0520601,5403.412103,6.525449743
2289,29/06/2012,6.5,6.63,6.49,6.52,8127.555002,52910.43382,6.510006245
2290,28/06/2012,6.49,6.54,5.99,6.5,4266.150568,26772.77991,6.275629395
2291,27/06/2012,6.41,6.68,6.34,6.49,11231.77829,73445.14627,6.539048795
2292,26/06/2012,6.26,6.46,6.17,6.41,2273.098601,14395.29359,6.332894483
2293,25/06/2012,6.35,6.35,6.11,6.26,1956.728215,12222.0753,6.246179311
